time_s,NITROGEN_TANK_PT,IPA_TANK_PT,LOX_TANK_PT,LOX_LINE_PT,IPA_LINE_PT,LOX_VENTURI_1_PT,LOX_VENTURI_2_PT,IPA_VENTURI_1_PT,IPA_VENTURI_2_PT,CHAMBER_PT,IGNITER_PT,PFM_PT,POM_PT
1777067604.417039,0.0,,-375.0,-375.0,-374.9,-375.0,-175.2,176.5,-176.0,174.9,-177.0,175.1,-174.7
1777067604.417043,0.0,,-375.0,-375.0,-374.9,-375.0,-174.9,176.5,-176.0,174.9,-177.0,175.1,-174.7
1777067604.417046,0.0,,-375.0,-375.0,-374.9,-375.0,-174.9,176.5,-176.0,174.9,-177.0,175.1,-174.7
1777067604.417050,0.0,,-375.0,-375.0,-374.9,-375.0,-174.9,176.5,-176.0,174.9,-176.7,175.1,-174.7
1777067604.417052,0.0,,-375.0,-375.0,-374.9,-375.0,-174.9,176.5,-176.0,174.9,-176.7,175.1,-175.5
1777067605.418562,0.0,,-375.0,-375.0,-374.9,-375.0,-174.9,176.5,-176.0,174.9,-176.7,175.1,-175.5
1777067605.418581,0.0,,-375.0,-375.0,-374.9,-375.0,-174.9,176.5,-176.0,174.9,-176.7,175.1,-175.5
1777067605.418588,0.0,,-375.0,-375.0,-375.0,-375.0,-174.9,176.5,-176.0,174.9,-176.7,175.1,-175.5
1777067605.418596,0.0,,-375.0,-375.0,-375.0,-375.0,-175.5,176.5,-176.0,174.9,-176.7,175.1,-175.5
1777067605.418602,0.0,,-375.0,-375.0,-375.0,-375.0,-175.5,176.5,-176.5,174.9,-176.7,175.1,-175.5
1777067605.418609,0.0,,-375.0,-375.0,-375.0,-375.0,-175.5,176.5,-176.5,174.9,-176.8,175.1,-175.5
1777067605.418615,0.0,,-375.0,-375.0,-375.0,-375.0,-175.5,176.5,-176.5,174.9,-176.8,175.1,-175.3
1777067606.417970,0.0,,-375.0,-375.0,-375.0,-375.0,-175.5,176.5,-176.5,174.9,-176.8,175.1,-175.3
1777067606.417983,0.0,,-375.0,-375.0,-375.0,-375.0,-175.5,176.5,-176.5,174.9,-176.8,175.1,-175.3
1777067606.418871,0.0,,-375.0,-375.0,-375.0,-375.0,-175.5,176.5,-176.5,174.9,-176.8,175.1,-175.3
1777067606.418882,0.0,,-375.0,-375.0,-375.0,-375.0,-175.3,176.5,-176.5,174.9,-176.8,175.1,-175.3
1777067606.418887,0.0,,-375.0,-375.0,-375.0,-375.0,-175.3,176.5,-175.6,174.9,-176.8,175.1,-175.3
1777067606.418891,0.0,,-375.0,-375.0,-375.0,-375.0,-175.3,176.5,-175.6,174.9,-177.8,175.1,-175.3
1777067606.418894,0.0,,-375.0,-375.0,-375.0,-375.0,-175.3,176.5,-175.6,174.9,-177.8,175.1,-175.3
1777067607.418465,0.0,,-375.0,-375.0,-375.0,-375.0,-175.3,176.5,-175.6,174.9,-177.8,175.1,-175.3
1777067607.418476,0.0,,-375.0,-375.0,-375.0,-375.0,-175.3,176.5,-175.6,174.9,-177.8,175.1,-175.3
1777067607.418482,0.0,,-375.0,-375.0,-375.0,-375.0,-175.3,176.5,-175.6,174.9,-177.8,175.1,-175.3
1777067607.419369,0.0,,-375.0,-375.0,-375.0,-375.0,-175.3,176.5,-175.6,174.9,-177.8,175.1,-175.3
1777067607.419383,0.0,,-375.0,-375.0,-375.0,-375.0,-175.3,175.5,-175.6,174.9,-177.8,175.1,-175.3
1777067607.419393,0.0,,-375.0,-375.0,-375.0,-375.0,-175.3,175.5,-175.6,175.0,-177.8,175.1,-175.3
1777067607.419411,0.0,,-375.0,-375.0,-375.0,-375.0,-175.3,175.5,-175.6,175.0,-177.8,174.8,-175.3
1777067608.418969,0.0,,-375.0,-375.0,-375.0,-375.0,-175.3,175.5,-175.6,175.0,-177.8,174.8,-175.3
1777067608.418990,0.0,,-375.0,-375.0,-375.0,-375.0,-175.3,175.5,-175.6,175.0,-177.8,174.8,-175.3
1777067608.418997,0.0,,-375.0,-375.0,-375.0,-375.0,-175.3,175.5,-175.6,175.0,-177.8,174.8,-175.3
1777067608.419004,0.0,,-375.0,-375.0,-375.0,-375.0,-175.1,175.5,-175.6,175.0,-177.8,174.8,-175.3
1777067608.419826,0.0,,-375.0,-375.0,-375.0,-375.0,-175.1,175.5,-175.6,175.0,-177.8,174.8,-175.3
1777067608.419838,0.0,,-375.0,-375.0,-375.0,-375.0,-175.1,175.5,-175.6,175.0,-178.4,174.8,-175.3
1777067608.419865,0.0,,-375.0,-375.0,-375.0,-375.0,-175.1,175.5,-175.6,175.0,-178.4,174.8,-175.5
1777067609.419404,0.0,,-375.0,-375.0,-375.0,-375.0,-175.1,175.5,-175.6,175.0,-178.4,174.8,-175.5
1777067609.419414,0.0,,-375.0,-375.0,-375.0,-375.0,-175.1,175.5,-175.6,175.0,-178.4,174.8,-175.5
1777067609.419421,0.0,,-375.0,-375.0,-374.9,-375.0,-175.1,175.5,-175.6,175.0,-178.4,174.8,-175.5
1777067609.419426,0.0,,-375.0,-375.0,-374.9,-375.0,-175.7,175.5,-175.6,175.0,-178.4,174.8,-175.5
1777067609.419432,0.0,,-375.0,-375.0,-374.9,-375.0,-175.7,175.5,-175.9,175.0,-178.4,174.8,-175.5
1777067609.419438,0.0,,-375.0,-375.0,-374.9,-375.0,-175.7,175.5,-175.9,175.0,-177.4,174.8,-175.5
1777067609.420410,0.0,,-375.0,-375.0,-374.9,-375.0,-175.7,175.5,-175.9,175.0,-177.4,174.5,-175.5
1777067610.420201,0.0,,-375.0,-375.0,-374.9,-375.0,-175.7,175.5,-175.9,175.0,-177.4,174.5,-175.5
1777067610.420218,0.0,,-375.0,-375.0,-374.9,-375.0,-175.7,175.5,-175.9,175.0,-177.4,174.5,-175.5
1777067610.420229,0.0,,-375.0,-375.0,-375.0,-375.0,-175.7,175.5,-175.9,175.0,-177.4,174.5,-175.5
1777067610.420241,0.0,,-375.0,-375.0,-375.0,-375.0,-176.2,175.5,-175.9,175.0,-177.4,174.5,-175.5
1777067610.420252,0.0,,-375.0,-375.0,-375.0,-375.0,-176.2,175.5,-176.1,175.0,-177.4,174.5,-175.5
1777067610.420272,0.0,,-375.0,-375.0,-375.0,-375.0,-176.2,175.5,-176.1,175.0,-176.2,174.5,-175.5
1777067610.420280,0.0,,-375.0,-375.0,-375.0,-375.0,-176.2,175.5,-176.1,175.0,-176.2,174.5,-175.1
1777067611.419420,0.0,,-375.0,-375.0,-375.0,-375.0,-176.2,175.5,-176.1,175.0,-176.2,174.5,-175.1
1777067611.419436,0.0,,-375.0,-375.0,-375.0,-375.0,-176.2,175.5,-176.1,175.0,-176.2,174.5,-175.1
1777067611.420432,0.0,,-375.0,-375.0,-375.0,-375.0,-176.2,175.5,-176.1,175.0,-176.2,174.5,-175.1
1777067611.420447,0.0,,-375.0,-375.0,-375.0,-375.0,-175.5,175.5,-176.1,175.0,-176.2,174.5,-175.1
1777067611.420458,0.0,,-375.0,-375.0,-375.0,-375.0,-175.5,175.5,-176.0,175.0,-176.2,174.5,-175.1
1777067611.420469,0.0,,-375.0,-375.0,-375.0,-375.0,-175.5,175.5,-176.0,175.0,-176.5,174.5,-175.1
1777067611.420480,0.0,,-375.0,-375.0,-375.0,-375.0,-175.5,175.5,-176.0,175.0,-176.5,174.5,-175.6
1777067612.420059,0.0,,-375.0,-375.0,-375.0,-375.0,-175.5,175.5,-176.0,175.0,-176.5,174.5,-175.6
1777067612.420078,0.0,,-375.0,-375.0,-375.0,-375.0,-175.5,175.5,-176.0,175.0,-176.5,174.5,-175.6
1777067612.420089,0.0,,-375.0,-375.0,-375.0,-375.0,-175.5,175.5,-176.0,175.0,-176.5,174.5,-175.6
1777067612.420098,0.0,,-375.0,-375.0,-375.0,-375.0,-175.3,175.5,-176.0,175.0,-176.5,174.5,-175.6
1777067612.420906,0.0,,-375.0,-375.0,-375.0,-375.0,-175.3,175.5,-176.1,175.0,-176.5,174.5,-175.6
1777067612.420944,0.0,,-375.0,-375.0,-375.0,-375.0,-175.3,175.5,-176.1,175.0,-175.8,174.5,-175.6
1777067612.420955,0.0,,-375.0,-375.0,-375.0,-375.0,-175.3,175.5,-176.1,175.0,-175.8,174.5,-175.5
1777067613.420704,0.0,,-375.0,-375.0,-375.0,-375.0,-175.3,175.5,-176.1,175.0,-175.8,174.5,-175.5
1777067613.420720,0.0,,-375.0,-375.0,-375.0,-375.0,-175.3,175.5,-176.1,175.0,-175.8,174.5,-175.5
1777067613.420731,0.0,,-375.0,-375.0,-375.0,-375.0,-175.3,175.5,-176.1,175.0,-175.8,174.5,-175.5
1777067613.420742,0.0,,-375.0,-375.0,-375.0,-375.0,-176.1,175.5,-176.1,175.0,-175.8,174.5,-175.5
1777067613.420754,0.0,,-375.0,-375.0,-375.0,-375.0,-176.1,175.5,-176.4,175.0,-175.8,174.5,-175.5
1777067613.420762,0.0,,-375.0,-375.0,-375.0,-375.0,-176.1,175.5,-176.4,175.0,-175.6,174.5,-175.5
1777067613.421522,0.0,,-375.0,-375.0,-375.0,-375.0,-176.1,175.5,-176.4,175.0,-175.6,174.5,-175.4
1777067614.422145,0.0,,-375.0,-375.0,-375.0,-375.0,-176.1,175.5,-176.4,175.0,-175.6,174.5,-175.4
1777067614.422161,0.0,,-374.9,-375.0,-375.0,-375.0,-176.1,175.5,-176.4,175.0,-175.6,174.5,-175.4
1777067614.422171,0.0,,-374.9,-375.0,-375.0,-375.0,-176.1,175.5,-176.4,175.0,-175.6,174.5,-175.4
1777067614.422181,0.0,,-374.9,-375.0,-375.0,-375.0,-175.7,175.5,-176.4,175.0,-175.6,174.5,-175.4
1777067614.422188,0.0,,-374.9,-375.0,-375.0,-375.0,-175.7,175.5,-176.6,175.0,-175.6,174.5,-175.4
